DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52 WEEK HIGH,52 WEEK LOW,VOLUME,VALUE,NO. OF  TRADES,PRICE_CHANGE,DAILY_RETURN_%,SMA_5,SMA_20,EMA_10,VOLATILITY_10D_%,ROLLING_HIGH_20,DRAWDOWN_%
2026-06-18,EQ,1330.0,1333.9,1322.0,1332.7,1331.0,1328.1,1327.75,1611.8,1253.2,15494549,20572897900.8,210055,-4.600000000000136,-0.34516395287762514,1317.9199999999998,,1307.9744744346654,1.3325209508700426,,-0.34516395287762514
2026-06-19,EQ,1328.0,1338.2,1305.3,1328.1,1311.5,1309.5,1317.76,1611.8,1253.2,24887034,32795056305.4,271929,-18.59999999999991,-1.4004969505308273,1321.2199999999998,,1308.2518427192715,1.3800088628771483,,-1.7408268927740722
2026-06-22,EQ,1316.7,1344.9,1314.1,1309.5,1324.7,1326.5,1333.48,1611.8,1253.2,12931213,17243520821.4,261143,17.0,1.298205421916765,1325.12,,1311.5696894975858,1.1544978465901816,,-0.46522097996548606
2026-06-23,EQ,1328.9,1333.0,1304.0,1326.5,1306.0,1309.5,1318.19,1611.8,1253.2,15400184,20300411366.4,184704,-17.0,-1.2815680361854542,1321.2599999999998,,1311.1933823162065,1.284375956995213,,-1.7408268927740722
2026-06-24,EQ,1305.7,1322.0,1297.5,1309.5,1313.4,1313.6,1312.24,1611.8,1253.2,11030917,14475176030.9,181859,4.099999999999909,0.31309660175637966,1317.44,,1311.630949167805,1.221067604214134,,-1.4331807608614189
2026-06-25,EQ,1318.0,1328.0,1314.6,1313.6,1316.5,1318.1,1320.81,1611.8,1253.2,12694362,16766828496.7,226862,4.5,0.3425700365408124,1315.44,,1312.8071402282042,1.2209896440071841,,-1.0955203721767948
2026-06-29,EQ,1308.0,1313.7,1292.6,1318.1,1302.3,1301.0,1302.94,1611.8,1253.2,13757656,17925371908.1,233886,-17.09999999999991,-1.2973219027387795,1313.74,1303.23,1310.6603874594396,1.1206087240747153,1332.7,-2.3786298491783597
2026-06-30,EQ,1306.9,1306.9,1290.0,1301.0,1294.5,1293.9,1295.14,1611.8,1253.2,15695263,20327586926.9,213627,-7.099999999999909,-0.5457340507301955,1307.22,1301.925,1307.613044284996,1.074011740596129,1332.7,-2.911382906880766
2026-07-01,EQ,1298.9,1312.2,1296.5,1293.9,1306.5,1308.0,1307.11,1611.8,1253.2,7001401,9151570032.2,149608,14.099999999999909,1.089728727104089,1306.92,1301.595,1307.683399869542,0.9799728461389514,1332.7,-1.8533803556689432
2026-07-02,EQ,1310.0,1313.2,1299.0,1308.0,1301.9,1303.5,1303.94,1611.8,1253.2,17795024,23203584205.1,331954,-4.5,-0.34403669724770714,1304.9,1301.1100000000001,1306.9227817114433,0.9683436238335744,1332.7,-2.1910407443535673
2026-07-03,EQ,1312.0,1312.0,1302.0,1303.5,1305.0,1304.0,1305.14,1611.8,1253.2,7839550,10231733311.4,209968,0.5,0.03835826620637306,1302.0800000000002,1301.125,1306.391366854817,0.9702996426771412,1332.7,-2.1535229233886177
2026-07-06,EQ,1304.0,1325.6,1299.4,1304.0,1321.7,1321.3,1316.79,1611.8,1253.2,7610709,10021698838.7,210015,17.299999999999955,1.3266871165644067,1306.14,1302.6399999999999,1309.1020274266684,0.9720019531872592,1332.7,-0.8554063180010618
2026-07-07,EQ,1323.5,1328.0,1304.1,1321.3,1305.0,1308.4,1314.21,1611.8,1253.2,14335554,18839874763.2,262924,-12.899999999999864,-0.9763112086581316,1309.04,1304.895,1308.9743860763651,0.92383237802472,1332.7,-1.8233660988969724
2026-07-08,EQ,1297.0,1302.3,1271.6,1308.4,1274.9,1275.9,1284.32,1611.8,1253.2,19960868,25636141483.5,368557,-32.5,-2.4839498624273926,1302.6200000000001,1305.23,1302.9608613352077,1.1422828627416697,1332.7,-4.262024461619262
2026-07-09,EQ,1277.1,1296.5,1274.2,1275.9,1280.9,1279.8,1286.53,1611.8,1253.2,14651963,18850219782.4,279312,3.8999999999998636,0.30566658829060955,1297.8799999999999,1306.2800000000002,1298.7497956378973,1.1418755744516924,1332.7,-3.9693854580926002
2026-07-10,EQ,1291.9,1311.1,1287.8,1279.8,1310.0,1307.8,1301.71,1611.8,1253.2,8412537,10950723928.2,143317,28.0,2.1878418502891073,1298.6399999999999,1308.52,1300.3952873400976,1.3744782546585605,1332.7,-1.8683874840549342
2026-07-13,EQ,1300.0,1306.4,1295.0,1307.8,1297.0,1296.9,1299.42,1611.8,1253.2,9488352,12329316771.2,227014,-10.899999999999864,-0.8334607738186173,1293.7599999999998,1308.715,1299.7597805509888,1.3357338669132974,1332.7,-2.686275981091013
